Farm_ID,N_Obs,Mean_Actual,Mean_Predicted,MAE,District,Variety,Soil_Type
F0011,7,14.422857142857143,14.117076971076367,0.43209277236038496,Kegalle,Chinese,Clay Loam
F0024,9,12.715555555555556,12.533573566251386,0.8078870154598613,Monaragala,Local,Clay Loam
F0026,9,14.193333333333335,14.08468434103668,0.2601905034527648,Monaragala,Local,Clay Loam
F0031,15,12.494,12.41222868319927,0.6255092335715396,Kurunegala,Chinese,Loam
F0040,14,12.299999999999999,12.235053414848636,0.6421891679558124,Monaragala,Nadun,Sandy Loam
F0045,12,13.041666666666666,13.063082443705921,0.4702699090208496,Monaragala,Nadun,Sandy Loam
F0055,5,14.76,14.382354584559053,0.5855833000054105,Nuwara Eliya,Nadun,Clay Loam
F0056,14,13.822142857142856,13.862972661946383,0.7098840060000757,Nuwara Eliya,Nadun,Clay Loam
F0060,11,14.873636363636365,14.58542032132267,0.698546418333128,Badulla,Nadun,Clay Loam
F0061,6,13.853333333333333,14.1591839871086,0.4212567405038265,Monaragala,Nadun,Sandy Loam
F0064,14,12.180000000000001,12.335157358741137,0.698313431157694,Kegalle,Chinese,Clay Loam
F0067,4,13.695,13.801104108532478,0.7401031937911444,Kegalle,Nadun,Sandy Loam
F0068,9,13.535555555555554,13.434742895458468,0.42209147584341167,Monaragala,Nadun,Clay Loam
F0071,12,14.174999999999999,13.771878445984205,0.7968910298600953,Kandy,Nadun,Loam
F0073,8,13.86125,13.763451490323039,0.5905632512193741,Kurunegala,Nadun,Clay Loam
F0077,6,12.601666666666667,12.486011974677252,0.6666431964525632,Kandy,Local,Clay Loam
F0079,8,13.6725,13.456849570861035,0.6450056382211005,Matale,Local,Sandy Loam
F0087,9,13.399999999999999,13.21024663678181,0.7489831065944484,Ratnapura,Chinese,Loam
F0089,13,13.833076923076922,14.030647462198433,0.5588020524630151,Kandy,Nadun,Loam
F0097,11,14.396363636363638,14.633561253057604,0.5935502100358917,Nuwara Eliya,Local,Loam
F0102,12,14.508333333333333,14.15318082663839,0.5939800410625989,Monaragala,Local,Loam
F0108,6,12.805,12.74317314391847,0.748358506702424,Kegalle,Nadun,Sandy Loam
F0111,10,11.631,11.571608480729356,0.579339974442451,Galle,Local,Sandy Loam
F0121,11,12.33,12.413572572146387,0.35906597888455055,Matara,Chinese,Loam
F0137,11,14.177272727272726,13.57310428079393,0.9221091968777604,Ratnapura,Nadun,Clay Loam
F0138,11,14.65090909090909,14.0877968396953,0.6996158063304776,Monaragala,Chinese,Clay Loam
F0140,11,13.866363636363637,14.063833265949755,0.648019739762974,Galle,Chinese,Loam
F0159,9,12.977777777777778,12.35000657735781,0.7791505308818485,Matale,Nadun,Clay Loam
F0169,5,14.803999999999998,14.60474791016301,0.2825450302847955,Kegalle,Nadun,Sandy Loam
F0175,9,15.155555555555557,15.400292841260624,0.374236978008459,Galle,Local,Clay Loam
F0185,8,14.99875,15.124682948107967,0.4118823160755771,Ratnapura,Local,Loam
F0199,12,13.061666666666667,13.241864904534268,0.5025531642563502,Nuwara Eliya,Local,Loam
F0200,11,14.482727272727272,14.087237806090751,0.6739516409630988,Ratnapura,Nadun,Clay Loam
F0209,14,13.922857142857143,13.715389415267873,0.6128805855314522,Kandy,Nadun,Sandy Loam
F0210,12,14.613333333333332,14.664997930453348,0.7031606640409377,Kegalle,Local,Loam
F0211,14,13.052857142857144,13.224131263100745,0.7288182586683869,Galle,Chinese,Loam
F0214,15,13.9,13.770321090751683,0.66722692831361,Badulla,Nadun,Clay Loam
F0216,8,14.09125,13.91418613841308,0.416981730923468,Badulla,Nadun,Clay Loam
F0219,7,13.024285714285714,12.604657848623498,0.7188848901111443,Ratnapura,Local,Sandy Loam
F0222,9,14.01,14.023820671773562,0.5014868634202525,Galle,Nadun,Clay Loam
F0236,10,14.409,14.307686218216185,0.7818217243429686,Kurunegala,Chinese,Clay Loam
F0238,7,13.504285714285714,13.281343406220818,0.6450683479055481,Matale,Local,Sandy Loam
F0245,13,12.215384615384616,12.186820717216623,0.5880824741373449,Kegalle,Local,Sandy Loam
F0248,12,11.489166666666668,11.843682029335111,0.49511617459010093,Kandy,Nadun,Sandy Loam
F0255,10,13.868,13.97502250522155,0.738511190355751,Badulla,Chinese,Clay Loam
F0257,6,15.35,15.146835013309472,0.28357739967409756,Ratnapura,Local,Clay Loam
F0260,8,15.0925,14.593941707977258,0.9626166275862496,Monaragala,Chinese,Loam
F0261,11,12.04,12.090791916993892,0.5733515897617534,Kurunegala,Chinese,Sandy Loam
F0262,8,13.395,13.15142477419619,0.6195914027331697,Matale,Chinese,Clay Loam
F0266,13,14.226923076923075,14.333861874624754,0.5222412644664717,Monaragala,Chinese,Sandy Loam
F0276,10,15.618,15.867247479842245,0.46635698185220775,Matale,Local,Sandy Loam
F0278,4,13.067499999999999,12.86698787561788,0.5509514283618246,Kurunegala,Chinese,Clay Loam
F0281,12,12.556666666666667,12.615765866193984,0.5299430690192809,Ratnapura,Chinese,Loam
F0282,11,11.944545454545453,12.074321408859364,0.4822947548007816,Kegalle,Chinese,Sandy Loam
F0290,4,15.16,15.299198247716689,0.22743812483367787,Monaragala,Local,Loam
F0293,7,14.837142857142856,14.817426142634414,0.5317102048921158,Kurunegala,Local,Clay Loam
F0295,9,11.754444444444445,12.150437781478875,0.6693409866575187,Badulla,Local,Clay Loam
F0297,7,12.085714285714285,12.042517627720182,0.31631629225962776,Matale,Local,Sandy Loam
F0299,5,13.34,14.21044458403129,0.8704445840312897,Badulla,Nadun,Loam
F0300,10,13.584,13.648589732722822,0.7962609456980876,Nuwara Eliya,Nadun,Clay Loam
F0308,11,14.384545454545457,14.16958170726737,0.6387402469481087,Kurunegala,Local,Clay Loam
F0310,4,15.0425,14.862576026305305,0.6408811012601419,Nuwara Eliya,Chinese,Loam
F0311,7,14.337142857142856,14.141104471214975,0.3842630648988748,Matale,Local,Loam
F0313,14,14.343571428571428,14.389691783588889,0.6314427659401172,Kurunegala,Local,Clay Loam
F0315,12,13.729999999999999,13.799647078602426,0.3101247030374122,Kandy,Local,Loam
F0319,9,11.88888888888889,12.079952182343831,0.647699319812794,Kurunegala,Chinese,Sandy Loam
F0320,14,13.985714285714286,13.943346361766976,0.3838453987266493,Matale,Local,Loam
F0322,11,14.980909090909092,14.5345313557589,0.7985532485015727,Matara,Chinese,Loam
F0328,10,15.496,15.280624479498272,0.576660613959682,Nuwara Eliya,Local,Sandy Loam
F0329,14,13.370000000000001,13.088061346605702,0.6434078474333005,Kandy,Nadun,Loam
F0333,9,12.066666666666666,12.045091427767865,0.6036594337894333,Monaragala,Chinese,Sandy Loam
F0347,16,14.0925,13.88077079115378,0.4790023197105234,Kandy,Local,Sandy Loam
F0352,13,14.370000000000001,14.345402154831874,0.5335619438978643,Nuwara Eliya,Nadun,Clay Loam
F0356,15,12.462,12.194930581206792,0.5516219189842577,Nuwara Eliya,Nadun,Loam
F0362,11,12.22181818181818,12.41596423866664,0.5647454621400505,Kegalle,Local,Clay Loam
F0364,9,13.835555555555555,13.975425709296047,0.6636137089893503,Kegalle,Nadun,Sandy Loam
F0366,10,14.666,14.448152726964889,0.5230147539752567,Kegalle,Local,Sandy Loam
F0371,12,14.174999999999999,14.196258805076354,0.7744372451255807,Badulla,Chinese,Sandy Loam
F0372,8,12.2025,12.273192959968966,0.717307835865822,Matale,Chinese,Loam
F0378,8,14.775,14.525572726590827,0.6069611771184269,Kandy,Local,Loam
F0383,13,13.246923076923078,13.047985678339488,0.7698767553723221,Kurunegala,Nadun,Loam
F0409,7,14.537142857142856,14.5525643096723,0.741052981959265,Galle,Chinese,Loam
F0412,12,13.863333333333332,14.174966490530942,0.6101766912059827,Nuwara Eliya,Nadun,Sandy Loam
F0426,9,13.991111111111111,13.62472025710101,0.7507499486384077,Matara,Chinese,Clay Loam
F0430,8,15.27625,15.391037238182022,0.6518948144674626,Nuwara Eliya,Local,Sandy Loam
F0433,10,14.363,14.147328199139684,0.8278205049106047,Matale,Chinese,Loam
F0437,16,13.101875,13.383648517047506,0.6278345548342384,Galle,Chinese,Loam
F0440,12,14.610833333333332,14.532678873747129,0.4796530587008275,Matara,Nadun,Sandy Loam
F0446,8,13.08125,13.095676564517273,0.8282091782241701,Badulla,Chinese,Loam
F0452,9,12.725555555555555,12.724748819244875,0.439060133463919,Kurunegala,Chinese,Clay Loam
F0463,10,13.477,13.428594521032334,0.8674975146752321,Nuwara Eliya,Local,Sandy Loam
F0480,7,12.474285714285713,12.23202072724719,0.39523270426686175,Galle,Nadun,Sandy Loam
F0487,10,12.612,12.764260633700781,0.699204521829061,Matara,Nadun,Clay Loam
F0494,7,13.632857142857144,13.164414174116237,0.5294858717648315,Matara,Chinese,Sandy Loam
F0495,9,13.013333333333334,13.322411436179111,0.6549623661461239,Kurunegala,Local,Clay Loam
F0500,14,15.554285714285713,15.640636100773238,0.4374892247040953,Nuwara Eliya,Chinese,Clay Loam
F0514,10,14.053,14.087528557922749,0.5088152611793195,Ratnapura,Chinese,Loam
F0522,4,12.89,12.728313127958108,0.5511430812138252,Matara,Local,Clay Loam
F0523,9,11.752222222222223,11.74652632452585,0.4536316159646666,Ratnapura,Chinese,Clay Loam
F0527,14,12.383571428571429,12.238562050342413,0.5656299016256162,Matale,Chinese,Loam
F0528,13,14.548461538461538,14.393561344944613,0.5009512493514795,Badulla,Chinese,Loam
F0529,12,12.640833333333333,12.69134331419343,0.5723809237418398,Kegalle,Local,Loam
F0530,21,12.282857142857143,12.19337189044244,0.6978192927518705,Badulla,Chinese,Clay Loam
F0535,7,12.618571428571428,12.593248935480892,0.7139146856833068,Badulla,Chinese,Loam
F0543,13,13.456923076923077,13.887423774738899,0.5579169683840159,Nuwara Eliya,Nadun,Clay Loam
F0544,8,12.3925,12.110435445807289,0.5477653395103809,Kurunegala,Chinese,Clay Loam
F0549,11,14.035454545454547,14.202220849067764,0.5214770043020995,Matara,Nadun,Sandy Loam
F0550,17,13.388235294117647,13.412637011085266,0.6696795160168278,Monaragala,Nadun,Sandy Loam
F0555,11,14.394545454545455,14.383713773670324,0.5707997500779262,Kurunegala,Chinese,Clay Loam
F0560,5,14.975999999999999,15.403505904465433,0.7937957752267941,Nuwara Eliya,Local,Sandy Loam
F0571,9,14.29888888888889,14.770309524530852,0.8108026583497298,Galle,Chinese,Sandy Loam
F0579,6,16.93,17.116400511954556,0.9401418777165601,Kurunegala,Chinese,Clay Loam
F0584,15,13.426,13.514344687187409,0.6146673770590111,Ratnapura,Local,Clay Loam
F0585,11,15.177272727272726,14.845024240912728,0.7496907516726893,Kurunegala,Local,Sandy Loam
F0590,11,14.517272727272728,14.330708593673778,0.5149791118183447,Monaragala,Nadun,Clay Loam
F0591,12,13.450000000000001,13.735171426242168,0.5909623848432497,Ratnapura,Nadun,Clay Loam
F0596,10,13.132,13.006620842426173,0.36722336603091,Matara,Chinese,Sandy Loam
F0600,8,14.96875,15.102837440202931,0.4611424293926354,Kandy,Nadun,Clay Loam
F0602,12,14.090833333333334,14.092454651676343,0.7421942070817423,Kegalle,Chinese,Clay Loam
F0605,9,13.126666666666667,13.198889541636301,0.4808229031488041,Kurunegala,Local,Clay Loam
F0614,9,13.14,13.363465740826676,0.8751694515436881,Kegalle,Local,Clay Loam
F0618,11,14.267272727272728,13.931586097549422,0.9667762383171687,Matale,Chinese,Clay Loam
F0622,8,12.05,11.914662551923547,0.5565300643823641,Kandy,Nadun,Sandy Loam
F0627,10,12.431999999999999,12.426282060121718,0.7445694013228518,Kandy,Nadun,Sandy Loam
F0636,10,14.805000000000001,14.64031371572494,0.7392090260795848,Kegalle,Local,Sandy Loam
F0637,19,12.50421052631579,12.848722262003879,0.6980576110780355,Kurunegala,Local,Loam
F0644,14,14.652142857142858,14.544052175354038,0.5136323730081501,Kandy,Local,Sandy Loam
F0645,8,13.563749999999999,13.2609926011638,0.6188457462287211,Ratnapura,Local,Clay Loam
F0650,11,12.875454545454545,12.799227797163962,0.38087230907769615,Kegalle,Chinese,Clay Loam
F0651,10,13.444999999999999,13.216950223606341,0.5501356047036872,Kurunegala,Chinese,Loam
F0653,5,13.884,13.561039159693891,0.6014945262485414,Kandy,Nadun,Clay Loam
F0657,4,14.772499999999999,14.553152313788624,0.48915215090589115,Badulla,Local,Loam
F0661,10,12.675999999999998,12.561632689320243,0.7294511674291501,Kandy,Local,Loam
F0663,6,13.229999999999999,13.824270927114128,0.7486423880279153,Matara,Nadun,Loam
F0669,16,12.701875000000001,12.475251204739074,0.5784482202149049,Ratnapura,Nadun,Sandy Loam
F0671,14,13.775,13.750108063274263,0.5198608550774486,Matale,Chinese,Clay Loam
F0678,14,13.242142857142857,13.564243740164882,0.6526176371917988,Kurunegala,Chinese,Sandy Loam
F0679,11,13.783636363636363,14.04212414950638,0.7408524238128439,Badulla,Nadun,Loam
F0680,6,14.64,14.458351514801294,0.5370048171707609,Galle,Nadun,Clay Loam
F0688,12,15.219166666666666,15.098482139282522,0.5621574943141745,Kandy,Chinese,Loam
F0690,10,13.139,13.430015432893526,0.6792000578386623,Badulla,Chinese,Clay Loam
F0693,7,13.735714285714286,13.614235474919687,0.6855452467686847,Monaragala,Nadun,Clay Loam
F0698,6,12.351666666666667,12.61588417798375,0.5933959574489274,Kurunegala,Chinese,Sandy Loam
F0714,15,13.244666666666665,13.480830937740505,0.6302237055811751,Matale,Chinese,Sandy Loam
F0715,14,12.120000000000001,12.587060091402396,0.5083685292697716,Badulla,Chinese,Loam
F0717,8,15.2875,15.078873617807071,0.6669674164906222,Kegalle,Chinese,Loam
F0722,12,14.329166666666667,14.61552220804147,0.4685902030481895,Kurunegala,Local,Loam
F0738,6,13.516666666666666,13.47002892048379,0.35316279900628117,Galle,Chinese,Clay Loam
F0741,13,14.41,14.4948975166731,0.6434899005181047,Kandy,Local,Loam
F0742,11,13.82,14.08795129182505,0.415778200460305,Nuwara Eliya,Chinese,Sandy Loam
F0750,9,13.894444444444444,13.925140517035778,0.6928409018758546,Nuwara Eliya,Chinese,Sandy Loam
F0754,5,10.89,11.04442959758587,0.4397646821188232,Monaragala,Local,Loam
F0762,9,12.953333333333333,13.144507313459641,0.5714274318446336,Matara,Nadun,Sandy Loam
F0765,9,12.95111111111111,13.12198869276962,0.4091114128446551,Ratnapura,Chinese,Clay Loam
F0768,9,14.44111111111111,14.377073941651812,0.545722233049211,Galle,Nadun,Sandy Loam
F0788,9,15.190000000000001,14.964812416374492,0.6670753311442894,Badulla,Local,Clay Loam
F0801,9,13.04888888888889,13.509746018572448,0.6387849593973617,Kurunegala,Nadun,Sandy Loam
F0803,11,14.038181818181819,13.906432269279565,0.4744054134977245,Badulla,Chinese,Loam
F0811,11,14.110909090909091,13.992415446126172,0.7043339762924358,Kegalle,Nadun,Clay Loam
F0812,7,14.088571428571429,14.319640517907867,0.6928145624557924,Matale,Nadun,Sandy Loam
F0817,12,13.515,13.421867578468428,0.5655915192586686,Kegalle,Local,Clay Loam
F0821,10,11.943000000000001,11.360047635609792,0.8030717652298399,Kegalle,Local,Loam
F0823,8,12.5575,12.59219779936311,0.5463922819360498,Matara,Nadun,Sandy Loam
F0824,11,14.755454545454546,14.332986709168045,0.4991608387516711,Badulla,Nadun,Clay Loam
F0827,12,13.204166666666666,13.458576835694421,0.730919709837042,Nuwara Eliya,Chinese,Loam
F0830,14,13.459999999999999,13.519812566251135,0.4847388157964814,Kurunegala,Nadun,Clay Loam
F0838,15,12.414666666666667,12.266261850244348,0.4493992957612896,Badulla,Local,Clay Loam
F0846,7,12.952857142857143,13.272365094459705,0.6887558630291666,Matara,Local,Clay Loam
F0850,6,13.284999999999998,13.37137799613235,0.35786830350367743,Galle,Chinese,Clay Loam
F0860,3,13.036666666666667,13.139305769337602,0.15492404800557993,Monaragala,Chinese,Loam
F0866,12,14.455833333333333,14.664515582724123,0.5246672081683412,Kurunegala,Local,Sandy Loam
F0867,17,13.06,13.023251016443705,0.5807273210958782,Kegalle,Local,Loam
F0868,8,12.0225,11.97594494412793,0.7203550801515333,Kandy,Nadun,Sandy Loam
F0880,9,11.956666666666667,11.682020054662969,0.832839714119448,Ratnapura,Nadun,Clay Loam
F0884,12,13.183333333333332,13.390655391085525,0.6495106547666691,Kurunegala,Nadun,Sandy Loam
F0885,6,11.988333333333332,11.510277036156273,0.7255501624460677,Galle,Nadun,Loam
F0893,10,13.557999999999998,13.351351392244254,0.6012090572049701,Kurunegala,Nadun,Sandy Loam
F0894,10,13.344,13.416832170083046,0.4660410910003835,Monaragala,Nadun,Clay Loam
F0900,10,15.607,15.588971798287824,0.6874586730544797,Nuwara Eliya,Nadun,Clay Loam
F0902,8,13.645,14.061911323614355,0.7433298418607215,Badulla,Chinese,Clay Loam
F0903,9,14.017777777777777,13.508502418618889,0.6360508055462717,Nuwara Eliya,Chinese,Clay Loam
F0915,10,12.489,12.531386829800669,0.5340342472482243,Nuwara Eliya,Nadun,Sandy Loam
F0918,7,15.332857142857142,15.110396739497602,0.6604184427086273,Galle,Nadun,Loam
F0925,10,13.255,13.197476741563596,0.7367544885908514,Monaragala,Chinese,Loam
F0937,9,13.851111111111111,13.92699481337743,0.7414970754845736,Kurunegala,Nadun,Clay Loam
F0939,11,14.892727272727273,14.89821828901184,0.44748192055921315,Matara,Local,Sandy Loam
F0942,3,13.823333333333332,12.796867679862126,1.0264656534712067,Monaragala,Nadun,Sandy Loam
